lower,upper,duration,action,depth,size,hit,miss
1900000, 1900000, 0.714963, 1, 26, 30400000, 16, 49984
1950000, 1949975, 0.744642, 2, 26, 31199600, 25, 49975
1950000, 1950000, 0.738834, 1, 26, 31200000, 32, 49968
2000000, 1999979, 0.794028, 2, 26, 31999664, 21, 49979
2000000, 2000000, 0.773139, 1, 26, 32000000, 22, 49978
2050000, 2049981, 0.788331, 2, 26, 32799696, 19, 49981
2050000, 2050000, 0.781403, 1, 26, 32800000, 22, 49978
2100000, 2099981, 0.829479, 2, 26, 33599696, 19, 49981
2100000, 2100000, 0.833029, 1, 26, 33600000, 32, 49968
2150000, 2149975, 0.828027, 2, 26, 34399600, 25, 49975
2150000, 2150000, 0.827875, 1, 26, 34400000, 26, 49974
2200000, 2199978, 0.845308, 2, 26, 35199648, 22, 49978
2200000, 2200000, 0.836686, 1, 26, 35200000, 25, 49975
2250000, 2249975, 0.865417, 2, 26, 35999600, 25, 49975
2250000, 2250000, 0.874765, 1, 26, 36000000, 29, 49971
2300000, 2299968, 0.910576, 2, 26, 36799488, 32, 49968
2300000, 2300000, 0.892243, 1, 26, 36800000, 46, 49954
2350000, 2349966, 0.893091, 2, 26, 37599456, 34, 49966
2350000, 2350000, 0.902392, 1, 26, 37600000, 41, 49959
2400000, 2399976, 0.912795, 2, 26, 38399616, 24, 49976
2400000, 2400000, 0.92282, 1, 26, 38400000, 34, 49966
2450000, 2449970, 0.935856, 2, 26, 39199520, 30, 49970
2450000, 2450000, 0.932635, 1, 26, 39200000, 21, 49979
2500000, 2499962, 0.948681, 2, 26, 39999392, 38, 49962
2500000, 2500000, 0.945109, 1, 26, 40000000, 29, 49971
2550000, 2549971, 0.971029, 2, 26, 40799536, 29, 49971
2550000, 2550000, 0.964226, 1, 26, 40800000, 22, 49978
2600000, 2599963, 0.988408, 2, 26, 41599408, 37, 49963
2600000, 2600000, 0.988352, 1, 26, 41600000, 37, 49963
2650000, 2649967, 1.00646, 2, 26, 42399472, 33, 49967
2650000, 2650000, 1.00123, 1, 26, 42400000, 25, 49975
2700000, 2699979, 1.02434, 2, 26, 43199664, 21, 49979
2700000, 2700000, 1.02386, 1, 26, 43200000, 23, 49977
2750000, 2749972, 1.04821, 2, 26, 43999552, 28, 49972
2750000, 2750000, 1.06133, 1, 26, 44000000, 36, 49964
2800000, 2799970, 1.07637, 2, 26, 44799520, 30, 49970
2800000, 2800000, 1.07688, 1, 26, 44800000, 27, 49973
2850000, 2849963, 1.0927, 2, 26, 45599408, 37, 49963
2850000, 2850000, 1.10343, 1, 26, 45600000, 27, 49973
2900000, 2899960, 1.14096, 2, 26, 46399360, 40, 49960
2900000, 2900000, 1.1366, 1, 26, 46400000, 41, 49959
2950000, 2949968, 1.1338, 2, 26, 47199488, 32, 49968
2950000, 2950000, 1.12838, 1, 26, 47200000, 29, 49971
3000000, 2999953, 1.15558, 2, 26, 47999248, 47, 49953
3000000, 3000000, 1.15356, 1, 26, 48000000, 26, 49974
3050000, 3049958, 1.26398, 2, 26, 48799328, 42, 49958
3050000, 3050000, 1.18085, 1, 26, 48800000, 31, 49969
3100000, 3099969, 1.19392, 2, 26, 49599504, 31, 49969
3100000, 3100000, 1.19196, 1, 26, 49600000, 42, 49958
3150000, 3149961, 1.2246, 2, 26, 50399376, 39, 49961
3150000, 3150000, 1.21851, 1, 26, 50400000, 37, 49963
3200000, 3199959, 1.22997, 2, 26, 51199344, 41, 49959
3200000, 3200000, 1.25608, 1, 26, 51200000, 40, 49960
3250000, 3249955, 1.25245, 2, 27, 51999280, 45, 49955
3250000, 3250000, 1.26496, 1, 27, 52000000, 40, 49960
3300000, 3299966, 1.28026, 2, 27, 52799456, 34, 49966
3300000, 3300000, 1.28811, 1, 27, 52800000, 43, 49957
3350000, 3349976, 1.33434, 2, 27, 53599616, 24, 49976
3350000, 3350000, 1.30037, 1, 27, 53600000, 49, 49951
3400000, 3399947, 1.31772, 2, 27, 54399152, 53, 49947
3400000, 3400000, 1.31527, 1, 27, 54400000, 49, 49951
3450000, 3449975, 1.34833, 2, 27, 55199600, 25, 49975
3450000, 3450000, 1.34221, 1, 27, 55200000, 54, 49946
3500000, 3499955, 1.36519, 2, 27, 55999280, 45, 49955
3500000, 3500000, 1.35623, 1, 27, 56000000, 31, 49969
3550000, 3549939, 1.38926, 2, 27, 56799024, 61, 49939
3550000, 3550000, 1.39023, 1, 27, 56800000, 38, 49962
3600000, 3599972, 1.42461, 2, 27, 57599552, 28, 49972
3600000, 3600000, 1.42947, 1, 27, 57600000, 45, 49955
3650000, 3649961, 1.42783, 2, 27, 58399376, 39, 49961
3650000, 3650000, 1.438, 1, 27, 58400000, 49, 49951
3700000, 3699949, 1.48391, 2, 27, 59199184, 51, 49949
3700000, 3700000, 1.44365, 1, 27, 59200000, 39, 49961
3750000, 3749962, 1.51072, 2, 27, 59999392, 38, 49962
3750000, 3750000, 1.46463, 1, 27, 60000000, 42, 49958
3800000, 3799962, 1.51059, 2, 27, 60799392, 38, 49962
3800000, 3800000, 1.49135, 1, 27, 60800000, 54, 49946
3850000, 3849959, 1.53122, 2, 27, 61599344, 41, 49959
3850000, 3850000, 1.51457, 1, 27, 61600000, 45, 49955
3900000, 3899949, 1.54458, 2, 27, 62399184, 51, 49949
3900000, 3900000, 1.53096, 1, 27, 62400000, 47, 49953
3950000, 3949949, 1.55608, 2, 27, 63199184, 51, 49949
3950000, 3950000, 1.55092, 1, 27, 63200000, 44, 49956
4000000, 3999972, 1.57956, 2, 27, 63999552, 28, 49972
4000000, 4000000, 1.56799, 1, 27, 64000000, 37, 49963
4050000, 4049963, 1.58238, 2, 27, 64799408, 37, 49963
4050000, 4050000, 1.57948, 1, 27, 64800000, 51, 49949
4100000, 4099958, 1.6023, 2, 27, 65599328, 42, 49958
4100000, 4100000, 1.6119, 1, 27, 65600000, 58, 49942
4150000, 4149958, 1.63084, 2, 27, 66399328, 42, 49958
4150000, 4150000, 1.61857, 1, 27, 66400000, 41, 49959
4200000, 4199958, 1.65283, 2, 27, 67199328, 42, 49958
4200000, 4200000, 1.64687, 1, 27, 67200000, 59, 49941
4250000, 4249938, 1.67096, 2, 27, 67999008, 62, 49938
4250000, 4250000, 1.66436, 1, 27, 68000000, 55, 49945
4300000, 4299966, 1.69538, 2, 27, 68799456, 34, 49966
4300000, 4300000, 1.69888, 1, 27, 68800000, 48, 49952
4350000, 4349950, 1.74028, 2, 27, 69599200, 50, 49950
4350000, 4350000, 1.72519, 1, 27, 69600000, 59, 49941
4400000, 4399959, 1.75783, 2, 27, 70399344, 41, 49959
4400000, 4400000, 1.75279, 1, 27, 70400000, 52, 49948
4450000, 4449944, 1.77324, 2, 27, 71199104, 56, 49944
4450000, 4450000, 1.76491, 1, 27, 71200000, 47, 49953
4500000, 4499955, 1.79027, 2, 27, 71999280, 45, 49955
4500000, 4500000, 1.79527, 1, 27, 72000000, 48, 49952
4550000, 4549945, 1.80591, 2, 27, 72799120, 55, 49945
4550000, 4550000, 1.81646, 1, 27, 72800000, 48, 49952
4600000, 4599944, 1.83283, 2, 27, 73599104, 56, 49944
4600000, 4600000, 1.82268, 1, 27, 73600000, 51, 49949
4650000, 4649954, 1.84778, 2, 27, 74399264, 46, 49954
4650000, 4650000, 1.87469, 1, 27, 74400000, 59, 49941
4700000, 4699926, 1.98797, 2, 27, 75198816, 74, 49926
4700000, 4700000, 1.86297, 1, 27, 75200000, 42, 49958
4750000, 4749952, 1.84478, 2, 27, 75999232, 48, 49952
4750000, 4750000, 1.83726, 1, 27, 76000000, 48, 49952
4800000, 4799944, 1.86421, 2, 27, 76799104, 56, 49944
4800000, 4800000, 1.84635, 1, 27, 76800000, 60, 49940
4850000, 4849942, 1.8768, 2, 27, 77599072, 58, 49942
4850000, 4850000, 1.86757, 1, 27, 77600000, 49, 49951
4900000, 4899948, 1.90141, 2, 27, 78399168, 52, 49948
4900000, 4900000, 1.90023, 1, 27, 78400000, 60, 49940
4950000, 4949945, 1.9315, 2, 27, 79199120, 55, 49945
4950000, 4950000, 1.95095, 1, 27, 79200000, 44, 49956
5000000, 4999939, 1.94287, 2, 27, 79999024, 61, 49939
5000000, 5000000, 1.93751, 1, 27, 80000000, 51, 49949
