lower,upper,duration,action,depth
2324605,2359570,0.0182269,1,22
2359570,2394691,0.0183066,1,22
2394691,2429966,0.0182609,1,22
2429966,2465392,0.0184172,1,22
2465392,2500967,0.0182357,1,22
2500967,2536689,0.018515,1,22
2536689,2572555,0.0183964,1,22
2572555,2608563,0.0186449,1,22
2608563,2644710,0.0186196,1,22
2644710,2680995,0.0188358,1,22
2680995,2717415,0.0190321,1,22
2717415,2753968,0.0190775,1,22
2753968,2790652,0.0191005,1,22
2790652,2827465,0.0192287,1,22
2827465,2864404,0.0191989,1,22
2864404,2901468,0.0193674,1,22
2901468,2938655,0.0192764,1,22
2938655,2975963,0.0196402,1,22
2975963,3013390,0.0194853,1,22
3013390,3050934,0.0195169,1,22
3050934,3088594,0.0196352,1,22
3088594,3126367,0.0195895,1,22
3126367,3164252,0.0199517,1,22
3164252,3202247,0.0204117,1,22
3202247,3240351,0.0199673,1,22
3240351,3278562,0.0198435,1,22
3278562,3316878,0.0200146,1,22
3316878,3355298,0.0200061,1,22
3355298,3393820,0.0199838,1,22
3393820,3432442,0.0201697,1,22
3432442,3471164,0.0204903,1,22
3471164,3509983,0.0200363,1,22
3509983,3548898,0.0203702,1,22
3548898,3587908,0.0203243,1,22
3587908,3627012,0.0202501,1,22
3627012,3666208,0.0205496,1,22
3666208,3705494,0.0206403,1,22
3705494,3744870,0.0205063,1,22
3744870,3784334,0.0203315,1,22
3784334,3823885,0.0205958,1,22
3823885,3863522,0.0203706,1,22
3863522,3903243,0.0202187,1,22
3903243,3943047,0.0203876,1,22
3943047,3982933,0.0203795,1,22
3982933,4022900,0.0207029,1,22
4022900,4062947,0.0208439,1,22
4062947,4103073,0.0207047,1,22
4103073,4143276,0.0205193,1,22
4143276,4183556,0.0206705,1,22
4183556,4223911,0.021265,1,23
4223911,4264341,0.0212593,1,23
4264341,4304844,0.0214771,1,23
4304844,4345420,0.0229742,1,23
4345420,4386067,0.0382536,1,23
