lower,upper,duration,action,depth,size,hit,miss
235000,235000,0.0317045,2,22,7520000,0,5000
235000,235000,0.0357695,1,22,7520000,0,5000
240000,239999,0.0327671,2,22,7679968,1,4999
240000,240000,0.0371403,1,22,7680000,0,5000
245000,245000,0.0338819,2,22,7840000,0,5000
245000,245000,0.0374063,1,22,7840000,0,5000
250000,249999,0.0349293,2,22,7999968,1,4999
250000,250000,0.0393286,1,22,8000000,0,5000
255000,255000,0.0373638,2,22,8160000,0,5000
255000,255000,0.0403027,1,22,8160000,0,5000
260000,259999,0.0365424,2,22,8319968,1,4999
260000,260000,0.0403037,1,22,8320000,0,5000
265000,265000,0.0380382,2,22,8480000,0,5000
265000,265000,0.0418434,1,22,8480000,0,5000
270000,270000,0.039314,2,22,8640000,0,5000
270000,270000,0.0426106,1,22,8640000,0,5000
275000,275000,0.0402755,2,22,8800000,0,5000
275000,275000,0.04781,1,22,8800000,0,5000
280000,280000,0.0467568,2,22,8960000,0,5000
280000,280000,0.0449322,1,22,8960000,1,4999
285000,284997,0.042513,2,22,9119904,3,4997
285000,285000,0.0466073,1,22,9120000,0,5000
290000,290000,0.0455993,2,22,9280000,0,5000
290000,290000,0.0478523,1,22,9280000,2,4998
295000,295000,0.045503,2,23,9440000,0,5000
295000,295000,0.0486819,1,23,9440000,1,4999
300000,299999,0.0470123,2,23,9599968,1,4999
300000,300000,0.0499982,1,23,9600000,0,5000
305000,305000,0.0487426,2,23,9760000,0,5000
305000,305000,0.0527653,1,23,9760000,0,5000
310000,310000,0.0490897,2,23,9920000,0,5000
310000,310000,0.0519262,1,23,9920000,1,4999
315000,315000,0.0500232,2,23,10080000,0,5000
315000,315000,0.0525663,1,23,10080000,0,5000
320000,320000,0.0519637,2,23,10240000,0,5000
320000,320000,0.0550465,1,23,10240000,0,5000
325000,325000,0.066359,2,23,10400000,0,5000
325000,325000,0.0610891,1,23,10400000,0,5000
330000,330000,0.0541323,2,23,10560000,0,5000
330000,330000,0.0567452,1,23,10560000,0,5000
335000,334999,0.0577457,2,23,10719968,1,4999
335000,335000,0.0589655,1,23,10720000,0,5000
340000,340000,0.0559364,2,23,10880000,0,5000
340000,340000,0.0592179,1,23,10880000,0,5000
345000,345000,0.0567149,2,23,11040000,0,5000
345000,345000,0.059247,1,23,11040000,0,5000
350000,349999,0.0609845,2,23,11199968,1,4999
350000,350000,0.0614383,1,23,11200000,0,5000
355000,355000,0.0624148,2,23,11360000,0,5000
355000,355000,0.0661843,1,23,11360000,0,5000
360000,360000,0.0609496,2,23,11520000,0,5000
360000,360000,0.0631937,1,23,11520000,0,5000
365000,364998,0.066431,2,23,11679936,2,4998
365000,365000,0.069756,1,23,11680000,0,5000
370000,370000,0.0614693,2,23,11840000,0,5000
370000,370000,0.0640503,1,23,11840000,2,4998
375000,375000,0.0663458,2,23,12000000,0,5000
375000,375000,0.066998,1,23,12000000,1,4999
380000,379999,0.0665474,2,23,12159968,1,4999
380000,380000,0.0667846,1,23,12160000,1,4999
385000,385000,0.0650842,2,23,12320000,0,5000
385000,385000,0.0697265,1,23,12320000,0,5000
390000,390000,0.0657085,2,23,12480000,0,5000
390000,390000,0.070232,1,23,12480000,1,4999
395000,395000,0.0670133,2,23,12640000,0,5000
395000,395000,0.0686918,1,23,12640000,1,4999
400000,400000,0.0688662,2,23,12800000,0,5000
400000,400000,0.0761361,1,23,12800000,0,5000
405000,404999,0.0694749,2,23,12959968,1,4999
405000,405000,0.0722249,1,23,12960000,0,5000
410000,410000,0.0744966,2,23,13120000,0,5000
410000,410000,0.0729982,1,23,13120000,1,4999
415000,414999,0.0713497,2,23,13279968,1,4999
415000,415000,0.0740436,1,23,13280000,2,4998
420000,420000,0.0722091,2,23,13440000,0,5000
420000,420000,0.0753016,1,23,13440000,0,5000
425000,424997,0.0746096,2,23,13599904,3,4997
425000,425000,0.0759471,1,23,13600000,1,4999
430000,429998,0.0751678,2,23,13759936,2,4998
430000,430000,0.078092,1,23,13760000,0,5000
435000,434999,0.0826316,2,23,13919968,1,4999
435000,435000,0.079031,1,23,13920000,0,5000
440000,440000,0.0763734,2,23,14080000,0,5000
440000,440000,0.0811576,1,23,14080000,0,5000
445000,444999,0.0775042,2,23,14239968,1,4999
445000,445000,0.080219,1,23,14240000,0,5000
450000,449999,0.0794202,2,23,14399968,1,4999
450000,450000,0.0826724,1,23,14400000,0,5000
455000,455000,0.079189,2,23,14560000,0,5000
455000,455000,0.0816032,1,23,14560000,1,4999
460000,459999,0.080526,2,23,14719968,1,4999
460000,460000,0.0830006,1,23,14720000,0,5000
465000,464999,0.0875764,2,23,14879968,1,4999
465000,465000,0.0838219,1,23,14880000,0,5000
470000,470000,0.0857421,2,23,15040000,0,5000
470000,470000,0.0855525,1,23,15040000,0,5000
475000,475000,0.0849828,2,23,15200000,0,5000
475000,475000,0.0857551,1,23,15200000,2,4998
480000,480000,0.0884733,2,23,15360000,0,5000
480000,480000,0.0878554,1,23,15360000,1,4999
485000,484999,0.087231,2,23,15519968,1,4999
485000,485000,0.0883229,1,23,15520000,1,4999
490000,489999,0.0882152,2,23,15679968,1,4999
490000,490000,0.0946396,1,23,15680000,1,4999
495000,494999,0.0884084,2,23,15839968,1,4999
495000,495000,0.0933574,1,23,15840000,1,4999
500000,499999,0.0897589,2,23,15999968,1,4999
500000,500000,0.0910954,1,23,16000000,0,5000
