lower,upper,duration,action,depth
1391853,1420957,0.0047764,2,21
1420957,1450312,0.0048283,2,21
1450312,1479914,0.0050922,2,21
1479914,1509760,0.0053016,2,21
1509760,1539845,0.0048991,2,21
1539845,1570166,0.0050035,2,21
1570166,1600719,0.0050008,2,21
1600719,1631500,0.0049309,2,21
1631500,1662506,0.0052639,2,21
1662506,1693733,0.0050911,2,21
1693733,1725178,0.005102,2,21
1725178,1756837,0.0054859,2,21
1756837,1788706,0.0054885,2,21
1788706,1820782,0.0052283,2,21
1820782,1853062,0.005458,2,21
1853062,1885543,0.0052763,2,21
1885543,1918221,0.0054875,2,21
1918221,1951093,0.0054257,2,21
1951093,1984155,0.0055257,2,21
1984155,2017405,0.0054886,2,21
2017405,2050839,0.0057289,2,21
2050839,2084455,0.0059043,2,21
2084455,2118249,0.0057214,2,22
2118249,2152219,0.0058777,2,22
2152219,2186362,0.0058266,2,22
2186362,2220675,0.0058805,2,22
2220675,2255155,0.0060151,2,22
2255155,2289799,0.0056406,2,22
2289799,2324605,0.006289,2,22
2324605,2359570,0.0061913,2,22
2359570,2394691,0.0058017,2,22
2394691,2429966,0.0060987,2,22
2429966,2465392,0.0058298,2,22
2465392,2500967,0.0061854,2,22
2500967,2536689,0.0059454,2,22
2536689,2572555,0.0059069,2,22
2572555,2608563,0.0066568,2,22
2608563,2644710,0.0062488,2,22
2644710,2680995,0.0065001,2,22
2680995,2717415,0.0063843,2,22
2717415,2753968,0.0062814,2,22
2753968,2790652,0.0061384,2,22
2790652,2827465,0.0062718,2,22
2827465,2864404,0.006475,2,22
2864404,2901468,0.006677,2,22
2901468,2938655,0.0063127,2,22
2938655,2975963,0.0063328,2,22
2975963,3013390,0.006291,2,22
3013390,3050934,0.0062427,2,22
3050934,3088594,0.0064084,2,22
3088594,3126367,0.0064697,2,22
3126367,3164252,0.0068687,2,22
3164252,3202247,0.0064322,2,22
3202247,3240351,0.0066746,2,22
3240351,3278562,0.0063458,2,22
3278562,3316878,0.0065219,2,22
3316878,3355298,0.006612,2,22
3355298,3393820,0.0066594,2,22
3393820,3432442,0.006922,2,22
3432442,3471164,0.0067573,2,22
3471164,3509983,0.006669,2,22
3509983,3548898,0.0063385,2,22
3548898,3587908,0.0068211,2,22
3587908,3627012,0.0065238,2,22
3627012,3666208,0.00689,2,22
3666208,3705494,0.0070945,2,22
3705494,3744870,0.0069454,2,22
3744870,3784334,0.0065772,2,22
3784334,3823885,0.0066421,2,22
3823885,3863522,0.0068195,2,22
3863522,3903243,0.0068769,2,22
3903243,3943047,0.0067595,2,22
3943047,3982933,0.0073086,2,22
3982933,4022900,0.0069362,2,22
4022900,4062947,0.0068423,2,22
4062947,4103073,0.0069294,2,22
4103073,4143276,0.006947,2,22
4143276,4183556,0.0068757,2,22
4183556,4223911,0.0070778,2,23
4223911,4264341,0.0072813,2,23
4264341,4304844,0.0069858,2,23
4304844,4345420,0.0072499,2,23
4345420,4386067,0.0069263,2,23
4386067,4426785,0.0071529,2,23
4426785,4467573,0.0071671,2,23
4467573,4508429,0.007286,2,23
4508429,4549353,0.0071924,2,23
4549353,4590344,0.0074211,2,23
4590344,4631401,0.006911,2,23
4631401,4672523,0.0071467,2,23
4672523,4713710,0.0071505,2,23
4713710,4754960,0.0070614,2,23
4754960,4796273,0.0073129,2,23
4796273,4837648,0.0076817,2,23
4837648,4879084,0.0071544,2,23
4879084,4920580,0.0075497,2,23
4920580,4962136,0.0075295,2,23
4962136,5003751,0.0076554,2,23
