lower,upper,duration,action,depth,size,hit,miss
100000,100000,0.0097073,1,20,3200000,0,50000
150000,149998,0.0145425,2,21,4799936,2,49998
150000,150000,0.0180079,1,21,4800000,4,49996
200000,199998,0.040665,2,21,6399936,2,49998
200000,200000,0.04744,1,21,6400000,3,49997
250000,249999,0.0476819,2,22,7999968,1,49999
250000,250000,0.0511583,1,22,8000000,6,49994
300000,299996,0.0578529,2,22,9599872,4,49996
300000,300000,0.0582103,1,22,9600000,4,49996
350000,349998,0.0659348,2,23,11199936,2,49998
350000,350000,0.0608056,1,23,11200000,5,49995
400000,399995,0.0718723,2,23,12799840,5,49995
400000,400000,0.0702603,1,23,12800000,2,49998
450000,449996,0.0789864,2,23,14399872,4,49996
450000,450000,0.0799912,1,23,14400000,6,49994
500000,499996,0.0880847,2,23,15999872,4,49996
500000,500000,0.0919375,1,23,16000000,4,49996
550000,549994,0.101257,2,23,17599808,6,49994
550000,550000,0.101206,1,23,17600000,10,49990
600000,599997,0.116671,2,24,19199904,3,49997
600000,600000,0.114499,1,24,19200000,9,49991
650000,649991,0.122116,2,24,20799712,9,49991
650000,650000,0.120158,1,24,20800000,9,49991
700000,699989,0.13981,2,24,22399648,11,49989
700000,700000,0.132755,1,24,22400000,7,49993
750000,749988,0.141979,2,24,23999616,12,49988
750000,750000,0.144832,1,24,24000000,7,49993
800000,799989,0.151505,2,24,25599648,11,49989
800000,800000,0.152355,1,24,25600000,10,49990
850000,849992,0.165184,2,24,27199744,8,49992
850000,850000,0.160021,1,24,27200000,8,49992
900000,899989,0.200632,2,24,28799648,11,49989
900000,900000,0.202804,1,24,28800000,6,49994
950000,949990,0.186462,2,25,30399680,10,49990
950000,950000,0.180674,1,25,30400000,11,49989
1000000,999992,0.19225,2,25,31999744,8,49992
1000000,1000000,0.191138,1,25,32000000,22,49978
1050000,1049986,0.201418,2,25,33599552,14,49986
1050000,1050000,0.20059,1,25,33600000,14,49986
1100000,1099982,0.210856,2,25,35199424,18,49982
1100000,1100000,0.215588,1,25,35200000,13,49987
1150000,1149983,0.22268,2,25,36799456,17,49983
1150000,1150000,0.221954,1,25,36800000,11,49989
1200000,1199985,0.230805,2,25,38399520,15,49985
1200000,1200000,0.233893,1,25,38400000,8,49992
1250000,1249987,0.240879,2,25,39999584,13,49987
1250000,1250000,0.241779,1,25,40000000,12,49988
1300000,1299981,0.252994,2,25,41599392,19,49981
1300000,1300000,0.250856,1,25,41600000,11,49989
1350000,1349982,0.260556,2,25,43199424,18,49982
1350000,1350000,0.258144,1,25,43200000,18,49982
1400000,1399981,0.273717,2,25,44799392,19,49981
1400000,1400000,0.27016,1,25,44800000,12,49988
1450000,1449989,0.279478,2,25,46399648,11,49989
1450000,1450000,0.28483,1,25,46400000,13,49987
1500000,1499984,0.29413,2,25,47999488,16,49984
1500000,1500000,0.302344,1,25,48000000,18,49982
1550000,1549983,0.326441,2,25,49599456,17,49983
1550000,1550000,0.313399,1,25,49600000,19,49981
1600000,1599977,0.318572,2,25,51199264,23,49977
1600000,1600000,0.347008,1,25,51200000,12,49988
1650000,1649975,0.342388,2,25,52799200,25,49975
1650000,1650000,0.32228,1,25,52800000,18,49982
1700000,1699985,0.36295,2,25,54399520,15,49985
1700000,1700000,0.352404,1,25,54400000,17,49983
1750000,1749979,0.370171,2,26,55999328,21,49979
1750000,1750000,0.353699,1,26,56000000,23,49977
1800000,1799981,0.372872,2,26,57599392,19,49981
1800000,1800000,0.356241,1,26,57600000,27,49973
1850000,1849991,0.376898,2,26,59199712,9,49991
1850000,1850000,0.398975,1,26,59200000,26,49974
1900000,1899976,0.385777,2,26,60799232,24,49976
1900000,1900000,0.405041,1,26,60800000,16,49984
1950000,1949975,0.383268,2,26,62399200,25,49975
1950000,1950000,0.397021,1,26,62400000,32,49968
2000000,1999979,0.44156,2,26,63999328,21,49979
2000000,2000000,0.391187,1,26,64000000,22,49978
2050000,2049981,0.405055,2,26,65599392,19,49981
2050000,2050000,0.400076,1,26,65600000,22,49978
2100000,2099981,0.426129,2,26,67199392,19,49981
2100000,2100000,0.423848,1,26,67200000,32,49968
2150000,2149975,0.440016,2,26,68799200,25,49975
2150000,2150000,0.42586,1,26,68800000,26,49974
2200000,2199978,0.463872,2,26,70399296,22,49978
